'Homophobic Indonesians still at large': Sociologist | The Jakarta Posthttp://www.thejakartapost.com/news/2012/05/17/homophobic-indonesians-still-large-sociologist.html
Rice helping Obama juggle foreign policy crises | The Jakarta Posthttp://m2.thejakartapost.com/news/2014/06/01/rice-helping-obama-juggle-foreign-policy-crises.html
Brazil's president defends Iran's nuclear program | The Jakarta Posthttp://www.thejakartapost.com/news/2009/09/24/brazil039s-president-defends-iran039s-nuclear-program.html
RI reminds ASEAN of migrant workers' protection deal | The Jakarta ...http://www.thejakartapost.com/news/2012/05/11/ri-reminds-asean-migrant-workers-protection-deal.html
Philippine military academy now opens to gays | The Jakarta Posthttp://www.thejakartapost.com/news/2012/07/11/philippine-military-academy-now-opens-gays.html
Incumbent Komnas HAM commissioners survive early selection ...http://www.thejakartapost.com/news/2012/03/14/incumbent-komnas-ham-commissioners-survive-early-selection-stages.html
As gays serve openly, few problems for chaplains | The Jakarta Posthttp://www.thejakartapost.com/news/2012/07/04/as-gays-serve-openly-few-problems-chaplains.html
Gay, transgender activists still in contention for Komnas HAM role ...http://www.thejakartapost.com/news/2012/03/14/gay-transgender-activists-still-contention-komnas-ham-role.html
Fifteen years of resistance against the New Order stigmatization ...http://www.thejakartapost.com/news/2013/01/04/fifteen-years-resistance-against-new-order-stigmatization.html
For the police and TNI, a softer 'don't-ask, don't-tell' policy | The ...http://www.thejakartapost.com/news/2010/12/17/for-police-and-tni-a-softer-%E2%80%98don%E2%80%99task-don%E2%80%99ttell%E2%80%99-policy.html
House to propose extension of Komnas HAM's chairmanship | The ...http://m.thejakartapost.com/news/2012/08/16/house-propose-extension-komnas-ham-s-chairmanship.html
'Slumdog' rules Oscars with 8 prizes, best picture | The Jakarta Posthttp://www.thejakartapost.com/news/2009/02/23/039slumdog039-rules-oscars-with-8-prizes-best-picture.html
Atheism, same-sex marriage forbidden in Indonesia: Justice ...http://www.thejakartapost.com/news/2013/03/04/atheism-same-sex-marriage-forbidden-indonesia-justice-candidate.html
RI, Oz media outlets urged to respect Mayang's memory | The ...http://www.thejakartapost.com/news/2014/10/09/ri-oz-media-outlets-urged-respect-mayang-s-memory.html
Hope abounds for new RI leaders to take firm stance on HIV/AIDS ...http://www.thejakartapost.com/news/2014/10/08/hope-abounds-new-ri-leaders-take-firm-stance-hivaids.html
U.S. grants asylum in Indonesian transgender case | The Jakarta Posthttp://www.thejakartapost.com/news/2008/08/10/us-grants-asylum-indonesian-transgender-case.html
Bhinneka sans Ika: Time to review the Marriage Law | The Jakarta Posthttp://www.thejakartapost.com/news/2014/09/28/bhinneka-sans-ika-time-review-marriage-law.html
Protests mark International Human Rights Day in Indonesia | The ...http://www.thejakartapost.com/news/2012/12/10/protests-mark-international-human-rights-day-indonesia.html
Stigma, violence continue to repress LGBTIQ groups | The Jakarta ...http://www.thejakartapost.com/news/2011/05/24/stigma-violence-continue-repress-lgbtiq-groups.html
When society deprives sexual minority groups of their rights | The ...http://www.thejakartapost.com/news/2013/07/28/when-society-deprives-sexual-minority-groups-their-rights.html
San Francisco officials mull Milk for airport name | The Jakarta Posthttp://www.thejakartapost.com/news/2013/01/15/san-francisco-officials-mull-milk-airport-name.html
By the way: Sometimes it takes standing up and being counted | The ...http://www.thejakartapost.com/news/2010/03/28/by-way-sometimes-it-takes-standing-and-being-counted.html
View point: Divided by culture, united by religion and ... sex! | The ...http://www.thejakartapost.com/news/2010/09/29/view-point-divided-culture-united-religion-and-sex.html
Federal judge strikes down Alaska's marriage ban | The Jakarta Posthttp://www.thejakartapost.com/news/2014/10/13/federal-judge-strikes-down-alaskas-marriage-ban.html
